标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
精装 92平 荣和千千树 3室 看房方便 有钥匙,124.5,"
                    13533
                ",荣和千千树,青秀,3,92,东南,2018,"[' ', '东南', '房东直卖', '满五年', '多人关注']"
南宁万科金域中央双天桃,165,"
                    11499
                ",万科金域中央,良庆,5,143.5,东,2011,"[' ', '东', '满二年', '近地铁', '车位充足']"
万科城南区三房 保养好 价格可谈,100,"
                    11038
                ",万科城(南区),青秀,3,90.6,南,2017,"[' ', '南', '满二年', '车位充足', '多人关注']"
价格调整，悦澜山精装4房108万，价格可谈，随时看房,108,"
                    11869
                ",荣和悦澜山,青秀,4,91,南,2015,"[' ', '南', '满五年']"
三中，实验一小在家门口，户型方正，采光好，地铁口,110,"
                    13018
                ",华润二十四城,良庆,3,84.5,南,2015,"[' ', '南', '满五年', '近地铁']"
锦华37 商品房 铁路实在卖2房2厅 随时看,85,"
                    12143
                ",南铁北二区,西乡塘,2,70,南北,1995,"[' ', '南北', '近地铁']"
市中心业主急售（没人住过 精装房）价格可谈，送家电,78,"
                    7866
                ",融创融公馆(四期),西乡塘,3,99.17,南北,2020,"[' ', '南北', '满二年', '车位充足', '多人关注']"
广西林业勘测设计院（中华路） 3房2厅,46,"
                    5112
                ",广西林业勘测设计院单位宿舍,兴宁,3,90,南北,1996,"[' ', '南北', '满二年', '近地铁']"
华润品质，未来城市3房，8千出，105%得房率，楼下地铁,66,"
                    8107
                ",华润置地未来城市,江南,3,81.42,南北,2022,"[' ', '南北', '唯一住房', '近地铁', '次新房']"
业主诚心出售！5房2厅2卫 建发鼎华北大珑廷 随时看房,145,"
                    11036
                ",建发鼎华北大珑廷,西乡塘,5,131.4,南北,2021,"[' ', '南北', '满五年', '近地铁', '车位充足']"
市中心旁，北湖单价7800，带车位，配套成熟，交通便利，急售,47,"
                    7015
                ",人和公园溪府,西乡塘,2,67,东,2021,"[' ', '东', '房东直卖', '满二年', '近地铁']"
业主换别墅急售（江南中心）单价8400，送车位，随时看房,98,"
                    8597
                ",华润江南中心,江南,4,114,南北,2022,"[' ', '南北', '满二年', '次新房', '多人关注']"
奥特莱斯旁，五一路，精装拎包入住，中间楼层有证朝南可实地看房,58,"
                    7183
                ",荣和伍壹华府东区,江南,3,80.75,南,2021,"[' ', '南', '满二年', '次新房', '多人关注']"
一号线地铁口！总价5字头拿 少市场价8 赠送家具电 业主急售,50.3,"
                    6254
                ",同人学府大道,西乡塘,3,80.43,南北,2014,"[' ', '南北', '满五年', '近地铁']"
正规商品房 双卫 电梯 正南 满五 沙井,45,"
                    4906
                ",融晟公园大地,江南,3,91.73,南,2014,"[' ', '南', '满五年']"
双天桃 总价低 精装三室 荣和大地二组团 随时看房,103,"
                    11815
                ",荣和大地二组团阳光里,青秀,3,87.18,南北,2016,"[' ', '南北', '满五年', '车位充足', '人气热搜']"
凤翔47中 盘龙居小区 3房2卫仅120万 看房方便,120,"
                    9231
                ",盘龙居小区南区,青秀,3,130,南,2007,"[' ', '南', '满五年', '采光较好']"
大板一区（古城路）2房2厅毛坯 96万,96,"
                    11852
                ",大板一区宿舍,青秀,2,81,南,2022,"[' ', '南', '有电梯', '近地铁', '次新房']"
精装 123平 满五4室 满五年 带车位出售,72,"
                    5854
                ",嘉和城塞纳左岸,兴宁,4,123,南,2015,"[' ', '南', '满五年', '多人关注']"
商业配套成熟 近地铁 出行方便 带电梯 近医院 次新房,89,"
                    9781
                ",大嘉汇康悦,西乡塘,3,91,东,2021,"[' ', '东', '满五年', '近地铁', '次新房']"
中国铁建西派澜岸 满五年 精装 4室 诚心出售,108,"
                    8710
                ",中国铁建西派澜岸,江南,4,124,南北,2018,"[' ', '南北', '满五年', '近地铁']"
万达附近 江南香格里拉 复试2房 高楼层视野好 近医院 满五,57,"
                    6268
                ",江南香格里拉,江南,2,90.94,东,2010,"[' ', '东', '满二年', '近地铁', '绿化率高']"
全新未入住 吉祥凤景湾 凤岭北 新小区 朝南户型 看房方便,167,"
                    13191
                ",吉祥凤景湾,青秀,3,126.61,南北,2021,"[' ', '南北', '满二年', '近地铁', '车位充足']"
青秀区，9字头，青秀万达，89平做四房，凤翔路小,89,"
                    10000
                ",北投上境,青秀,3,89,南,,"[' ', '南北通透', '厨卫全明', '主卧套房', '购物中心']"
精装 129平 4室 万科城 南北通透 诚心出售 价格可议,130,"
                    10078
                ",万科城(南区),青秀,4,129,南,2017,"[' ', '南', '满二年', '车位充足', '多人关注']"
荣和悦澜山 4房2厅175万,175,"
                    12412
                ",荣和悦澜山,青秀,4,141,北,2015,"[' ', '北', '满二年', '多人关注']"
安吉万达旁，双地铁，双公园，明天 旁，业主急转,46.8,"
                    4374
                ",天御学府,西乡塘,3,107,南,2021,"[' ', '南', '满二年', '近地铁', '次新房']"
柳沙一线江景房， 急售！大三房采光通风好！,75.8,"
                    6535
                ",柳沙新时代,青秀,3,116,南北,2021,"[' ', '南北', '满二年', '次新房', '多人关注']"
近地铁 保养好 次新房 随时看房 合适可刀,73,"
                    7935
                ",招商樾园,西乡塘,3,92,南,2020,"[' ', '南', '满五年', '近地铁', '车位充足']"
